"受訪者編號","訪問年","訪問月","性別","出生民國年","出生月","現居地","住宅種類","上網_高中","上網_大學","學校種類","課程難易度","學校規定與作息","到朋友家過夜","每天幾點鐘要回家","穿著和儀容","生活作息","上網的時間","交男／女朋友","金錢使用","工作選擇","父親目前的健康","向父親說心事","母親目前的健康","向母親說心事","中低收入戶生活補助","重大傷病、傷病醫療補助","生活過得快樂嗎","生活過得好不好","網癮_1","網癮_2","網癮_3","網癮_4","網癮_5","教育排名","出生西元年","年齡"
1011542,2018,3,2,88,8,247,8,0,6,13,0,0,3,3,2,1,1,2,2,3,2,5,3,3,0,0,5,0,NA,NA,NA,NA,NA,0,1999,18
1020202,2018,2,2,84,9,247,7,0,6,12,0,0,4,4,2,3,3,4,3,2,2,4,4,4,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
1020253,2018,2,1,84,8,247,7,0,0,12,0,0,3,3,3,3,3,4,4,3,2,2,2,2,0,0,6,1,NA,NA,NA,NA,NA,0,1995,22
1030063,2018,3,1,86,10,304,4,0,7,12,0,0,3,3,2,2,2,2,2,2,1,5,3,2,0,0,7,0,NA,NA,NA,NA,NA,0,1997,20
1030412,2018,2,2,83,10,304,4,0,0,12,0,0,4,3,2,2,1,2,2,3,1,5,1,5,0,0,3,0,NA,NA,NA,NA,NA,0,1994,23
1031062,2018,1,2,87,3,324,8,0,7,12,0,0,2,2,1,2,2,2,2,2,4,2,3,2,0,0,7,0,NA,NA,NA,NA,NA,0,1998,19
1031251,2018,1,2,84,6,324,4,0,4,12,0,0,2,1,1,1,1,2,2,2,3,5,1,5,0,0,3,0,NA,NA,NA,NA,NA,0,1995,22
1031252,2018,1,1,85,6,324,4,0,8,12,0,0,2,3,1,3,1,1,2,2,3,5,2,5,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
1031331,2018,2,1,84,1,324,8,0,7,13,0,0,1,2,1,2,1,2,2,2,2,5,2,5,0,0,6,0,NA,NA,NA,NA,NA,0,1995,23
1031332,2018,2,2,85,10,324,4,0,7,13,0,0,2,2,3,2,2,2,1,2,2,5,2,4,0,0,6,0,NA,NA,NA,NA,NA,0,1996,21
1031343,2018,2,1,84,11,324,4,0,0,6,0,0,2,2,2,2,2,1,2,2,3,5,4,5,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
1031361,2018,2,1,88,9,326,4,2,0,5,1,1,3,3,3,3,2,3,3,3,1,3,1,4,0,0,7,0,NA,NA,NA,NA,NA,4,1999,18
1031401,2018,2,1,86,4,324,4,0,5,12,0,0,2,2,1,3,2,2,4,3,3,3,3,3,0,0,6,0,NA,NA,NA,NA,NA,0,1997,20
1031471,2018,2,1,89,8,324,4,5,0,5,2,1,3,3,3,3,3,3,3,3,2,4,2,4,0,0,6,0,NA,NA,NA,NA,NA,3,2000,17
1031532,2018,2,2,84,10,104,8,0,0,6,0,0,2,1,1,3,1,1,3,2,6,0,3,2,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
1033101,2018,3,1,90,6,111,7,5,0,8,2,1,3,3,1,3,3,2,3,3,3,5,3,5,0,0,4,0,NA,NA,NA,NA,NA,2,2001,16
1040183,2018,2,1,89,8,304,7,1,0,5,2,1,2,2,2,3,3,2,3,2,2,4,3,4,0,0,7,0,NA,NA,NA,NA,NA,1,2000,17
1040242,2018,3,2,83,4,304,2,0,3,13,0,0,4,3,1,1,1,4,1,2,2,5,2,3,0,0,5,0,NA,NA,NA,NA,NA,0,1994,23
1040243,2018,2,2,86,8,304,8,0,8,13,0,0,0,2,2,2,2,2,2,2,3,5,3,4,0,0,6,0,NA,NA,NA,NA,NA,0,1997,20
1041161,2018,2,2,89,1,304,4,6,0,8,1,2,3,2,1,3,2,4,3,2,3,4,3,2,0,0,5,0,NA,NA,NA,NA,NA,4,2000,18
1041211,2018,2,1,83,3,701,7,0,0,13,0,0,2,2,1,2,1,1,2,2,2,3,2,3,0,0,6,0,NA,NA,NA,NA,NA,0,1994,23
1041261,2018,2,2,85,9,304,4,0,0,8,0,0,2,2,1,2,1,2,2,2,3,5,3,2,2,2,5,0,NA,NA,NA,NA,NA,0,1996,21
1041401,2018,7,2,84,10,304,4,0,0,13,0,0,2,1,1,2,1,2,1,1,3,3,2,2,0,0,6,0,NA,NA,NA,NA,NA,0,1995,22
1050101,2018,2,2,83,11,427,2,0,0,12,0,0,1,2,2,3,1,1,1,2,2,5,2,5,0,0,5,0,NA,NA,NA,NA,NA,0,1994,23
1051241,2018,2,2,90,12,304,4,5,0,5,3,1,4,3,2,3,3,4,3,2,2,5,2,5,0,0,5,0,NA,NA,NA,NA,NA,1,2001,16
1051461,2018,2,2,86,10,304,7,0,6,12,0,0,3,3,3,3,1,2,1,1,2,3,2,3,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
1051462,2018,2,1,88,5,251,8,0,7,13,0,0,1,1,1,1,1,1,1,1,2,4,2,4,0,0,6,0,NA,NA,NA,NA,NA,0,1999,18
1060032,2018,2,1,83,10,427,8,0,4,12,0,0,3,2,3,2,1,2,3,2,2,5,2,4,0,0,5,0,NA,NA,NA,NA,NA,0,1994,23
1060121,2018,3,1,84,9,421,2,0,0,5,0,0,2,2,1,3,0,2,2,1,3,4,3,4,2,2,6,0,NA,NA,NA,NA,NA,0,1995,22
1060122,2018,3,1,85,11,420,2,0,0,6,0,0,3,3,2,3,2,2,3,3,2,4,2,4,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
1061092,2018,2,1,84,1,427,4,0,0,12,0,0,1,1,2,2,2,2,2,2,1,4,1,4,0,0,7,4,NA,NA,NA,NA,NA,0,1995,23
1061093,2018,2,2,87,4,811,8,0,7,13,0,0,1,2,1,3,2,2,3,3,1,5,4,4,0,0,6,0,NA,NA,NA,NA,NA,0,1998,19
1061151,2018,2,2,87,6,427,4,0,0,5,0,0,4,3,2,2,2,2,3,2,3,3,3,3,0,0,6,0,NA,NA,NA,NA,NA,0,1998,19
1061152,2018,2,1,88,11,427,4,4,0,6,2,1,4,4,3,3,3,3,2,6,2,4,2,4,0,0,5,0,NA,NA,NA,NA,NA,1,1999,18
1061291,2018,2,1,88,1,427,4,0,3,13,0,0,2,3,3,3,3,3,2,3,1,4,2,3,0,0,7,0,NA,NA,NA,NA,NA,0,1999,19
1061491,2018,2,1,86,9,893,4,0,8,13,0,0,1,1,2,3,1,1,2,2,1,2,1,2,0,0,7,0,NA,NA,NA,NA,NA,0,1997,20
1070093,2018,2,2,85,3,324,4,0,6,12,0,0,1,2,2,3,1,2,2,1,3,5,3,3,0,0,5,0,NA,NA,NA,NA,NA,0,1996,21
1070222,2018,1,1,85,8,324,7,0,5,12,0,0,1,1,1,1,1,1,1,1,4,5,3,3,0,0,6,0,NA,NA,NA,NA,NA,0,1996,21
1071201,2018,2,2,88,8,427,2,0,7,12,0,0,3,3,2,3,3,3,3,3,2,5,4,4,0,0,6,0,NA,NA,NA,NA,NA,0,1999,18
1071202,2018,2,1,90,3,427,2,3,0,5,2,1,3,3,1,2,3,6,3,2,3,5,4,5,0,0,6,0,NA,NA,NA,NA,NA,2,2001,16
1071211,2018,2,1,90,4,427,4,4,0,6,3,2,3,2,1,3,3,3,2,4,2,3,2,3,0,0,5,0,NA,NA,NA,NA,NA,3,2001,16
1071332,2018,4,1,86,2,427,8,0,5,12,0,0,6,1,2,3,3,1,2,3,6,0,3,5,0,0,6,0,NA,NA,NA,NA,NA,0,1997,21
1071361,2018,2,1,89,1,427,2,4,0,5,2,3,4,3,3,3,2,3,3,3,2,4,2,3,0,0,4,0,NA,NA,NA,NA,NA,4,2000,18
1071362,2018,2,2,90,11,427,2,4,0,5,2,1,4,3,2,3,3,4,3,3,1,3,1,2,0,0,6,0,NA,NA,NA,NA,NA,3,2001,16
1071383,2018,2,1,84,8,427,4,0,0,6,0,0,3,3,1,3,2,1,3,2,3,3,3,5,0,0,5,0,NA,NA,NA,NA,NA,0,1995,22
1071461,2018,2,1,86,10,427,8,0,5,12,0,0,3,2,1,3,3,1,3,2,2,5,2,4,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
1112381,2018,1,2,88,9,111,7,7,0,9,1,1,3,3,2,2,2,2,2,2,3,5,2,4,0,0,6,0,NA,NA,NA,NA,NA,3,1999,18
1130111,2018,2,1,84,11,717,2,0,10,12,0,0,0,0,0,0,0,0,0,0,3,5,3,2,2,2,5,0,NA,NA,NA,NA,NA,0,1995,22
1162501,2018,4,2,87,11,116,7,0,7,12,0,0,4,4,3,3,3,3,3,3,3,3,3,2,0,0,4,0,NA,NA,NA,NA,NA,0,1998,19
2002041,2018,2,1,83,9,200,2,0,0,12,0,0,1,2,2,1,2,1,2,2,2,3,3,4,2,2,7,1,NA,NA,NA,NA,NA,0,1994,23
2002042,2018,2,2,86,11,320,7,0,4,12,0,0,4,2,3,3,2,4,3,2,3,3,3,3,0,0,5,0,NA,NA,NA,NA,NA,0,1997,20
2002181,2018,2,1,86,7,711,7,0,7,13,0,0,1,3,1,2,1,2,2,1,3,5,2,5,0,0,6,0,NA,NA,NA,NA,NA,0,1997,20
2002182,2018,2,2,87,9,710,2,0,7,12,0,0,4,2,1,2,2,2,2,3,3,4,2,2,0,0,7,0,NA,NA,NA,NA,NA,0,1998,19
2003031,2018,2,1,89,10,200,2,3,0,8,2,1,2,2,3,3,3,6,3,6,1,5,1,5,0,0,4,0,NA,NA,NA,NA,NA,3,2000,17
2003032,2018,2,1,90,9,200,2,10,0,8,2,1,4,2,3,3,3,1,3,2,2,5,96,5,0,0,5,0,NA,NA,NA,NA,NA,2,2001,16
2003351,2018,2,1,90,5,200,8,4,0,5,2,1,3,2,2,3,3,2,2,2,1,4,1,3,0,0,5,0,NA,NA,NA,NA,NA,4,2001,16
2010301,2018,2,1,86,1,552,4,0,0,12,0,0,3,2,1,2,2,1,1,3,3,5,3,5,0,0,4,0,NA,NA,NA,NA,NA,0,1997,21
2010421,2018,2,2,84,1,552,8,0,0,10,0,0,1,1,1,2,2,2,1,2,3,5,3,4,0,0,4,0,NA,NA,NA,NA,NA,0,1995,23
2010422,2018,2,2,85,1,552,5,0,0,6,0,0,4,3,2,3,1,2,3,3,3,5,3,3,0,0,5,0,NA,NA,NA,NA,NA,0,1996,22
2010423,2018,1,1,87,2,552,7,0,7,13,0,0,3,3,3,3,3,3,3,2,3,4,4,4,0,0,5,0,NA,NA,NA,NA,NA,0,1998,19
2011152,2018,2,2,84,11,552,4,0,0,9,0,0,2,2,1,2,2,2,2,2,6,0,3,4,0,0,4,0,NA,NA,NA,NA,NA,0,1995,22
2011243,2018,2,1,86,11,552,7,0,0,8,0,0,2,2,2,2,2,2,1,1,3,4,3,4,0,0,4,1,NA,NA,NA,NA,NA,0,1997,20
2011342,2018,4,2,83,10,552,2,0,0,8,0,0,2,1,3,1,1,0,1,1,6,0,2,4,2,2,5,0,NA,NA,NA,NA,NA,0,1994,23
2011351,2018,2,1,83,10,235,8,0,0,13,0,0,3,3,2,3,2,1,2,2,2,5,2,5,0,0,6,0,NA,NA,NA,NA,NA,0,1994,23
2011352,2018,2,1,86,1,235,8,0,4,13,0,0,2,2,1,3,1,1,2,3,1,4,1,4,0,0,7,0,NA,NA,NA,NA,NA,0,1997,21
2011382,2018,2,2,84,5,552,2,0,0,6,0,0,3,2,2,3,3,3,3,3,6,0,4,5,0,0,3,0,NA,NA,NA,NA,NA,0,1995,22
2011383,2018,2,2,85,10,552,7,0,0,9,0,0,2,2,2,2,2,2,3,2,6,0,4,5,0,0,4,0,NA,NA,NA,NA,NA,0,1996,21
2011451,2018,2,1,86,8,730,4,0,0,8,0,0,3,2,3,3,3,3,1,2,1,5,1,4,0,0,7,1,NA,NA,NA,NA,NA,0,1997,20
