respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
41591,2018,2,1,84,12,807,8,12,NA,NA,3,3,2,3,3,1,3,3,1,2,1,2,7,7,NA,NA,NA,NA,NA,NA,10,5
41592,2018,2,1,87,8,807,8,9,2,2,4,3,1,3,4,1,4,3,1,3,1,2,7,7,NA,NA,NA,NA,NA,2,10,5
1010133,2018,2,2,85,9,407,8,13,NA,NA,3,3,1,3,2,1,1,4,3,5,3,2,7,6,NA,NA,NA,NA,NA,NA,3,2
1010243,2018,3,2,83,9,247,7,6,NA,NA,2,1,1,2,1,1,1,1,4,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
1010252,2018,3,2,85,3,600,4,13,NA,NA,2,2,1,1,1,1,1,1,3,4,3,4,4,5,NA,NA,NA,NA,NA,NA,5,3
1010302,2018,2,1,84,4,103,1,12,NA,NA,3,3,2,3,2,2,3,2,3,5,3,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA
1011171,2018,2,2,90,10,247,8,8,3,1,4,3,1,2,1,4,1,3,1,5,1,1,6,6,NA,NA,NA,NA,NA,2,8,4
1011261,2018,2,2,84,1,247,8,12,NA,NA,2,2,2,3,1,2,1,2,3,4,3,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA
1011262,2018,2,2,86,7,247,8,12,NA,NA,2,2,2,2,1,2,2,2,4,4,3,3,5,5,NA,NA,NA,NA,NA,NA,7,4
1011461,2018,3,1,84,1,247,8,13,NA,NA,2,2,1,1,2,1,2,3,3,5,3,4,4,4,NA,NA,NA,NA,NA,NA,5,3
1011462,2018,2,1,86,11,247,8,13,NA,NA,2,2,2,2,2,2,3,3,3,5,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
1011541,2018,3,2,86,7,247,8,13,NA,NA,2,2,2,2,2,2,2,2,3,5,3,3,6,6,NA,NA,NA,NA,NA,NA,10,5
1011542,2018,3,2,88,8,247,8,13,NA,NA,3,3,2,1,1,2,2,3,2,5,3,3,5,6,NA,NA,NA,NA,NA,NA,6,3
1020202,2018,2,2,84,9,247,7,12,NA,NA,4,4,2,3,3,4,3,2,2,4,4,4,5,3,NA,NA,NA,NA,NA,NA,6,3
1020253,2018,2,1,84,8,247,7,12,NA,NA,3,3,3,3,3,4,4,3,2,2,2,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA
1030063,2018,3,1,86,10,304,4,12,NA,NA,3,3,2,2,2,2,2,2,1,5,3,2,7,7,NA,NA,NA,NA,NA,NA,7,4
1030412,2018,2,2,83,10,304,4,12,NA,NA,4,3,2,2,1,2,2,3,1,5,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA
1031062,2018,1,2,87,3,324,8,12,NA,NA,2,2,1,2,2,2,2,2,4,2,3,2,7,7,NA,NA,NA,NA,NA,NA,7,4
1031251,2018,1,2,84,6,324,4,12,NA,NA,2,1,1,1,1,2,2,2,3,5,1,5,3,5,NA,NA,NA,NA,NA,NA,4,2
1031252,2018,1,1,85,6,324,4,12,NA,NA,2,3,1,3,1,1,2,2,3,5,2,5,5,5,NA,NA,NA,NA,NA,NA,8,4
1031331,2018,2,1,84,1,324,8,13,NA,NA,1,2,1,2,1,2,2,2,2,5,2,5,6,5,NA,NA,NA,NA,NA,NA,7,4
1031332,2018,2,2,85,10,324,4,13,NA,NA,2,2,3,2,2,2,1,2,2,5,2,4,6,6,NA,NA,NA,NA,NA,NA,7,4
1031343,2018,2,1,84,11,324,4,6,NA,NA,2,2,2,2,2,1,2,2,3,5,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA
1031361,2018,2,1,88,9,326,4,5,1,1,3,3,3,3,2,3,3,3,1,3,1,4,7,7,NA,NA,NA,NA,NA,4,2,1
1031401,2018,2,1,86,4,324,4,12,NA,NA,2,2,1,3,2,2,4,3,3,3,3,3,6,5,NA,NA,NA,NA,NA,NA,5,3
1031471,2018,2,1,89,8,324,4,5,2,1,3,3,3,3,3,3,3,3,2,4,2,4,6,7,NA,NA,NA,NA,NA,3,5,3
1031532,2018,2,2,84,10,104,8,6,NA,NA,2,1,1,3,1,1,3,2,6,NA,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA
1033101,2018,3,1,90,6,111,7,8,2,1,3,3,1,3,3,2,3,3,3,5,3,5,4,5,NA,NA,NA,NA,NA,2,5,3
1040183,2018,2,1,89,8,304,7,5,2,1,2,2,2,3,3,2,3,2,2,4,3,4,7,7,NA,NA,NA,NA,NA,1,1,1
1040242,2018,3,2,83,4,304,2,13,NA,NA,4,3,1,1,1,4,1,2,2,5,2,3,5,5,NA,NA,NA,NA,NA,NA,3,2
1040243,2018,2,2,86,8,304,8,13,NA,NA,NA,2,2,2,2,2,2,2,3,5,3,4,6,6,NA,NA,NA,NA,NA,NA,8,4
1041161,2018,2,2,89,1,304,4,8,1,2,3,2,1,3,2,4,3,2,3,4,3,2,5,6,NA,NA,NA,NA,NA,4,6,3
1041211,2018,2,1,83,3,701,7,13,NA,NA,2,2,1,2,1,1,2,2,2,3,2,3,6,7,NA,NA,NA,NA,NA,NA,NA,NA
1041261,2018,2,2,85,9,304,4,8,NA,NA,2,2,1,2,1,2,2,2,3,5,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA
1041401,2018,NA,2,84,10,304,4,13,NA,NA,2,1,1,2,1,2,1,1,3,3,2,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA
1050101,2018,2,2,83,11,427,2,12,NA,NA,1,2,2,3,1,1,1,2,2,5,2,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA
1051241,2018,2,2,90,12,304,4,5,3,1,4,3,2,3,3,4,3,2,2,5,2,5,5,5,NA,NA,NA,NA,NA,1,5,3
1051461,2018,2,2,86,10,304,7,12,NA,NA,3,3,3,3,1,2,1,1,2,3,2,3,5,6,NA,NA,NA,NA,NA,NA,6,3
1051462,2018,2,1,88,5,251,8,13,NA,NA,1,1,1,1,1,1,1,1,2,4,2,4,6,6,NA,NA,NA,NA,NA,NA,7,4
1060032,2018,2,1,83,10,427,8,12,NA,NA,3,2,3,2,1,2,3,2,2,5,2,4,5,6,NA,NA,NA,NA,NA,NA,4,2
1060121,2018,3,1,84,9,421,2,5,NA,NA,2,2,1,3,NA,2,2,1,3,4,3,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA
1060122,2018,3,1,85,11,420,2,6,NA,NA,3,3,2,3,2,2,3,3,2,4,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA
1061092,2018,2,1,84,1,427,4,12,NA,NA,1,1,2,2,2,2,2,2,1,4,1,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA
1061093,2018,2,2,87,4,811,8,13,NA,NA,1,2,1,3,2,2,3,3,1,5,4,4,6,6,NA,NA,NA,NA,NA,NA,7,4
